2017 Weekday,2017 Weekend,2017 Average Day,borough,Line,Station
127664,132429,129025,Manhattan,B-D-F-M-N-Q-R-W,Herald Square
107141,135996,115385,Manhattan,4-5-6-6 Express-L-N-Q-R-W,14th Street - Union Square
85585,78533,83570,Manhattan,1-2-3 train,34th Street - Penn Station - 1-2-3
78904,78878,78897,Manhattan,A-C-E,34th Street - Penn Station - A-C-E
52018,70841,57396,Queens,7-E-F-M-R,74th Street - Broadway
73105,7987,54500,Manhattan,1-2-A-B-C-D,59th Street - Columbus Circle
61478,33776,53563,Manhattan,B-D-F-M,47-50th Streets - Rockefeller Center
57395,37101,51597,Manhattan,7-7 Express-B-D-F-M,42 Street - Bryant Park
48565,52840,49786,Manhattan,1-2-3-F-M,14th Street - 1-2-3-F-M
43434,57625,47489,Manhattan,A-C-E-L,14th Street - A-C-E-L
45882,48187,46541,Manhattan,4-5-6-6 Express,86th Street - 4-5-6
38957,52456,42814,Manhattan,1-2-3 train,72 Street - 1-2-3
37043,46701,39802,Manhattan,1-2-3 train,96th Street - 1-2-3
35391,42436,37404,Manhattan,N-Q-R-W,57th Street - 7th Avenue
29065,31307,29706,Manhattan,4-5-6-6 Express,125th Street - 4-5-6
26519,34714,28860,Manhattan,N-Q-R-W,49th Street
26674,33398,28595,Bronx,4-B-D,161st Street - Yankee Stadium
30040,23708,28231,Manhattan,4-6-6 Express,33rd Street
28145,25717,27451,Manhattan,Q,72 Street - Q
30758,15508,26401,Manhattan,F-M,23rd Street - F-M
27584,23424,26395,Manhattan,4-6-6 Express,77th Street - 4-6
25589,26637,25888,Manhattan,1-A-C,168th Street
28479,19273,25849,Manhattan,4-6-6 Express,23rd Street - 4-6
23722,30782,25739,Manhattan,Q,86th Street - Q
23932,29988,25662,Manhattan,A-B-C-D,145th Street - A-B-C-D
25007,24108,24750,Manhattan,N-Q-R-W,23rd Street - N-Q-R-W
25932,21338,24619,Manhattan,1-2 train,50th Street - 1-2
24228,23901,24135,Bronx,2-5 train,3rd Avenue - 149th Street
24161,23444,23956,Manhattan,A-C-E,23rd Street - A-C-E
21823,28252,23660,Manhattan,L,1st Avenue
22918,21674,22563,Manhattan,1-2 train,66th Street - Lincoln Center
20502,27121,22393,Manhattan,A-C-E,50th Street - A-C-E
24456,14682,21663,Manhattan,4-6-6 Express,68th Street - Hunter College
23081,17989,21626,Manhattan,4-6-6 Express,28th Street - 4-6
20101,25432,21624,Queens,7,103rd Street - Corona Plaza
25746,10451,21376,Manhattan,E-M,5th Avenue - 53rd Street
18882,21901,19745,Manhattan,1-2 train,86th Street - 1-2
16994,23227,18775,Manhattan,N-Q-R-W,8th Street - New York University
16848,21543,18189,Queens,7,90th Street - Elmhurst Avenue
17150,20019,17970,Manhattan,Q,96th Street - Q
16675,20998,17910,Manhattan,F,2nd Avenue
16871,19704,17680,Manhattan,N-R-W,5th Avenue - 59th Street
16759,19651,17585,Brooklyn,N-R,59th Street
18983,13941,17542,Manhattan,4-6-6 Express,96th Street - 4-6
15698,20497,17069,Manhattan,1-2 train,79th Street - 1-2
15393,20237,16777,Queens,7,82nd Street - Jackson Heights
15899,18846,16741,Manhattan,4-6-6 Express,116th Street - 4-6
16323,15512,16091,Queens,E-M-R,63 Dr-Rego Park
17334,12818,16044,Manhattan,B-D-E,7th Avenue - B-D-E
15023,17462,15720,Manhattan,2-3 train,135th Street - 2-3
13894,18871,15316,Brooklyn,D-N-R,36th Street - D-N-R
14763,14948,14816,Manhattan,1-2 train,23rd Street - 1-2
15263,13115,14649,Manhattan,1,116th Street - Columbia University
14049,15844,14562,Manhattan,1,137th Street - City College
15154,13057,14555,Manhattan,F,57th Street
13313,17293,14450,Manhattan,A-B-C,81st Street - Museum of Natural History
14337,13921,14218,Manhattan,4-6-6 Express,103rd Street - 4-6
13614,15447,14138,Queens,7,46th Street - Bliss Street
13962,14351,14073,Brooklyn,D-F-G-N-R,4th Avenue
14740,11152,13715,Manhattan,1-2 train,28th Street - 1-2
14063,12623,13652,Bronx,2-4-5 train,149th Street - Grand Concourse
12818,15651,13627,Manhattan,1,103rd Street - 1
12514,16278,13589,Brooklyn,N,8th Avenue
13217,13754,13370,Manhattan,A,175th Street
13256,12887,13151,Manhattan,N-Q-R-W,28th Street - N-Q-R-W
11384,15141,12457,Queens,7,111th Street - 7
11553,14583,12419,Manhattan,2-3 train,116th Street - 2-3
11693,14196,12408,Manhattan,1,181st Street - 1
11932,12893,12207,Manhattan,4-6-6 Express,110th Street
15692,1966,11770,Manhattan,2-3 train,125th Street - 2-3
11801,11571,11735,Brooklyn,F-G,7th Avenue - F-G
10802,13683,11625,Manhattan,1,157th Street
10981,12101,11301,Manhattan,A,181st Street - A
11742,9662,11148,Brooklyn,R,86th Street - R
11381,10161,11032,Queens,N-W,30th Avenue
10223,12682,10926,Bronx,B-D,167th Street - B-D
9863,12936,10741,Manhattan,1,145th Street - 1
10271,11619,10656,Brooklyn,B-Q,7th Avenue - B-Q
10624,10309,10534,Queens,7,40th Street - Lowery Street
10681,8558,10074,Manhattan,A-B-C,86th Street - A-B-C
10082,9941,10042,Manhattan,7-7 Express,34th Street - Hudson Yards
9774,9761,9770,Bronx,1,231st Street
9466,9981,9613,Bronx,4,167th Street - 4
8803,10241,9214,Manhattan,A-B-C,72 Street - A-B-C
9733,7663,9142,Manhattan,A-B-C,96th Street - A-B-C
8910,9482,9073,Bronx,4,170th Street - 4
9049,8857,8994,Queens,E-M-R,46th Street
8419,9547,8741,Manhattan,1,191st Street
9181,6692,8470,Queens,E-M-R,67th Avenue
8671,7789,8419,Queens,F,169th Street
8680,7274,8278,Manhattan,1-2 train,18th Street
8114,8331,8176,Bronx,6-6 Express,3rd Avenue - 138th Street
7584,9379,8097,Manhattan,1,125th Street - 1
6934,10336,7906,Manhattan,L,3rd Avenue
7877,7054,7642,Brooklyn,N-R,45th Street
7466,7974,7611,Bronx,2-5 train,174th Street
10209,1035,7588,Queens,F,21st Street - Queensbridge
7089,8558,7509,Bronx,B-D,170th Street - B-D
7232,7673,7358,Manhattan,A-B-C,116th Street - A-B-C
6746,4881,6213,Brooklyn,R,77th Street - R